[2339, 1653]
[reference, [197.0, 173.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 209.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 245.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 281.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 317.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 353.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 389.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 425.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 461.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 497.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 533.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 569.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 605.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 641.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 677.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 713.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 749.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 785.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 821.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 857.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 893.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 929.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 965.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1001.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1037.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1073.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1109.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1145.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1181.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1217.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1253.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1289.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1325.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1361.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1397.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1433.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1469.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1505.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1541.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1577.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1613.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
[reference, [197.0, 1649.0, 1269.0, 36.0], shoonya_2sOAK3QEGZF6AK, 5737437]
