[2339, 1654]
[folio, [1297.0, 33.0, 223.0, 36.0], tVLc2A9lgJ, 5750823]
[paragraph, [91.0, 95.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 131.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 167.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 203.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 239.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 275.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 311.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 347.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 383.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 419.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 455.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 491.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 527.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 563.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 599.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 635.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 671.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 707.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 743.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 779.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 815.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 851.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 887.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 923.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 959.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 995.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1031.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1067.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1103.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1139.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1175.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1211.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1247.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1283.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1319.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1355.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1391.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1427.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1463.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1499.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1535.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1571.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1607.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1643.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1679.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1715.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1751.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1787.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1823.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1859.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1895.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1931.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 1967.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 2003.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 2039.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[paragraph, [91.0, 2075.0, 1436.0, 36.0], MOXs-sLabL, 5750823]
[reference, [89.0, 2167.0, 530.0, 36.0], Zuv85lHPxu, 5750823]
[reference, [89.0, 2203.0, 530.0, 36.0], Zuv85lHPxu, 5750823]
