[2084, 1289]
[paragraph, [133.0, 255.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 291.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 327.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 363.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 399.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 435.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 471.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 507.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 543.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 579.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 615.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 651.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 687.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 723.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 759.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 795.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 831.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 867.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 903.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 939.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 975.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1011.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1047.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1083.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1119.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1155.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1191.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1227.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1263.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1299.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1335.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1371.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1407.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1443.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1479.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1515.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1551.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1587.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1623.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1659.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1695.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1731.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1767.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1803.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[paragraph, [133.0, 1839.0, 1022.0, 36.0], shoonya_0sQYPYYAQT8O44, 5660477]
[folio, [632.0, 1937.0, 656.0, 36.0], shoonya_2sSO2V3SVR4TWP, 5660477]
[folio, [632.0, 1973.0, 656.0, 36.0], shoonya_2sSO2V3SVR4TWP, 5660477]
