[2806, 1983]
[paragraph, [217.0, 308.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 354.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 401.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 447.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 494.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 540.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 587.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 633.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 680.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 726.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 773.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 819.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 866.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 912.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 959.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 1005.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 1052.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 1098.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 1145.0, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [217.0, 1191.5, 1545.0, 46.5], shoonya_0s3V4JI8NO7NCF, 5683365]
[paragraph, [222.0, 1388.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1434.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1481.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1527.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1574.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1620.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1667.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1713.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1760.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1806.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1853.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1899.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1946.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 1992.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 2039.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 2085.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 2132.0, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [222.0, 2178.5, 1533.0, 46.5], shoonya_1s4MP0GBA1DBSN, 5683365]
[paragraph, [217.0, 2337.0, 1539.0, 46.5], I2uRWtph7I, 5683365]
[paragraph, [217.0, 2383.5, 1539.0, 46.5], I2uRWtph7I, 5683365]
[paragraph, [217.0, 2430.0, 1539.0, 46.5], I2uRWtph7I, 5683365]
[paragraph, [217.0, 2476.5, 1539.0, 46.5], I2uRWtph7I, 5683365]
