[612, 396]
[paragraph, [39.0, 61.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 79.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 97.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 115.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 133.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 151.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 169.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 187.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 205.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 223.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 241.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 259.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 277.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 295.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 313.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 331.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 349.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 367.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 385.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 403.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 421.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 439.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 457.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 475.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 493.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 511.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 529.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
[paragraph, [39.0, 547.0, 322.0, 18.0], shoonya_0sUN86UPBCUXRE, 6514586]
